Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
Azure Alerts Management,Yes,Microsoft.AlertsManagement,alertsmanagement,,Done,NotStarted,Released,NotStarted,specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/AlertsManagement/tspconfig.yaml,2025-05-25-preview,sdk/alertsmanagement/azure-resourcemanager-alertsmanagement,2021-08-08,https://github.com/Azure/azure-sdk-for-java/pull/48312,
Azure Stack HCI,Yes,Microsoft.AzureStackHCI,azurestackhci,Done,AlreadyTypeSpec,NotStarted,Released,NotStarted,,,,,,
Usage (Usage V3),Yes,Microsoft.Commerce,commerce,,Released,Released,Released,NotStarted,specification/commerce/resource-manager/Microsoft.Commerce/Commerce/tspconfig.yaml,2015-06-01-preview,sdk/commerce/azure-resourcemanager-commerce,2015-06-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48234,
Azure Communication Services,Yes,Microsoft.Communication,communication,Done,Done,NotStarted,Released,NotStarted,specification/communication/Communication.Management/tspconfig.yaml,2026-03-18,sdk/communication/azure-resourcemanager-communication,2025-09-01,https://github.com/Azure/azure-sdk-for-java/pull/48522,
Azure Kubernetes Service,Yes,microsoft.containerservice,containerservice,Done,Done,Released,Released,NotStarted,specification/containerservice/resource-manager/Microsoft.ContainerService/aks/tspconfig.yaml,2025-10-02-preview,,,https://github.com/Azure/azure-sdk-for-java/pull/48491,
Cosmos DB,Yes,Microsoft.DocumentDB,cosmos-db,,Done,NotStarted,Released,NotStarted,specification/cosmos-db/resource-manager/Microsoft.DocumentDB/DocumentDB/tspconfig.yaml,2025-11-01-preview,,,https://github.com/Azure/azure-sdk-for-java/pull/48182,
Data Factory,Yes,Microsoft.DataFactory,datafactory,,Released,NotStarted,Released,NotStarted,specification/datafactory/resource-manager/Microsoft.DataFactory/DataFactory/tspconfig.yaml,2018-06-01,sdk/datafactory/azure-resourcemanager-datafactory,2018-06-01,https://github.com/Azure/azure-sdk-for-java/pull/48520,
Event Grid,Yes,Microsoft.EventGrid,eventgrid,,Done,NotStarted,Released,NotStarted,specification/eventgrid/resource-manager/Microsoft.EventGrid/EventGrid/tspconfig.yaml,2025-07-15-preview,sdk/eventgrid/azure-resourcemanager-eventgrid,2025-04-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48523,
Cluster Configuration,Yes,Microsoft.KubernetesConfiguration,kubernetesconfiguration,Done,Done,NotStarted,Released,NotStarted,specification/kubernetesconfiguration/resource-manager/Microsoft.KubernetesConfiguration/extensions/tspconfig.yaml,2024-11-01,sdk/kubernetesconfiguration/azure-resourcemanager-kubernetesconfiguration,2023-05-01,https://github.com/Azure/azure-sdk-for-java/pull/48513,
Cluster Configuration,Yes,Microsoft.KubernetesConfiguration,kubernetesconfiguration,Done,Done,NotStarted,Released,NotStarted,specification/kubernetesconfiguration/resource-manager/Microsoft.KubernetesConfiguration/extensions/tspconfig.yaml,2024-11-01,sdk/kubernetesconfiguration/azure-resourcemanager-kubernetesconfiguration,2023-05-01,https://github.com/Azure/azure-sdk-for-java/pull/48513,
Azure Maps,Yes,Microsoft.Maps,maps,Done,Done,Released,Released,NotStarted,specification/maps/resource-manager/Microsoft.Maps/Maps/tspconfig.yaml,2025-10-01-preview,sdk/maps/azure-resourcemanager-maps,2023-06-01,https://github.com/Azure/azure-sdk-for-java/pull/48516,
CPX-Marketplace-PrivateMarketplace,Yes,Microsoft.Marketplace,marketplace,Done,Done,Released,Released,NotStarted,specification/marketplace/resource-manager/Microsoft.Marketplace/Marketplace/tspconfig.yaml,2025-01-01,,not_released,https://github.com/Azure/azure-sdk-for-java/pull/48514,
